Factura,Fecha_Factura
E124205,2023-01-01
E124206,2023-01-01
E124207,2023-01-01
E124208,2023-01-01
E124209,2023-01-01
E124210,2023-01-01
E124211,2023-01-01
E124212,2023-01-01
E124213,2023-01-01
E124214,2023-01-01
E124215,2023-01-01
E124216,2023-01-01
E124217,2023-01-01
E124218,2023-01-01
E124219,2023-01-01
E124220,2023-01-01
E124221,2023-01-01
E124222,2023-01-01
E124223,2023-01-01
E124224,2023-01-01
E124225,2023-01-01
E124226,2023-01-01
E124227,2023-01-01
E124228,2023-01-01
E124229,2023-01-01
E124230,2023-01-01
E124231,2023-01-01
E124232,2023-01-01
E124233,2023-01-01
E124234,2023-01-01
E124235,2023-01-01
E124236,2023-01-01
E124237,2023-01-01
E124238,2023-01-01
E124239,2023-01-01
E124240,2023-01-01
E124241,2023-01-01
E124242,2023-01-01
E124243,2023-01-01
E124244,2023-01-01
E124245,2023-01-01
E124246,2023-01-01
E124247,2023-01-01
E124248,2023-01-01
E124249,2023-01-01
E124250,2023-01-01
E124251,2023-01-01
E124252,2023-01-01
E124253,2023-01-01
E124254,2023-01-01
E124255,2023-01-01
E124256,2023-01-01
E124257,2023-01-01
E124258,2023-01-01
E124259,2023-01-01
E124260,2023-01-01
E124261,2023-01-01
E124262,2023-01-01
E124263,2023-01-01
E124264,2023-01-01
E124265,2023-01-01
E124266,2023-01-01
E124267,2023-01-01
E124268,2023-01-01
E124269,2023-01-01
E124270,2023-01-01
E124271,2023-01-01
E124272,2023-01-01
E124273,2023-01-01
E124274,2023-01-01
E124275,2023-01-01
E124276,2023-01-01
E124277,2023-01-01
E124278,2023-01-01
E124279,2023-01-01
E124280,2023-01-01
E124281,2023-01-01
E124282,2023-01-01
E124283,2023-01-01
E124284,2023-01-01
E124285,2023-01-01
E124286,2023-01-01
E124287,2023-01-01
E124288,2023-01-01
E124289,2023-01-01
E124290,2023-01-01
E124291,2023-01-01
E124292,2023-01-01
E124293,2023-01-01
E124294,2023-01-01
E124295,2023-01-01
E124296,2023-01-01
E124297,2023-01-01
E124298,2023-01-01
E124299,2023-01-01
E124300,2023-01-01
E124301,2023-01-01
E124302,2023-01-01
E124303,2023-01-01
E124304,2023-01-01
E124305,2023-01-01
E124306,2023-01-01
E124307,2023-01-01
E124308,2023-01-01
E124309,2023-01-01
E124310,2023-01-01
E124311,2023-01-01
E124312,2023-01-01
E124313,2023-01-01
E124314,2023-01-01
E124315,2023-01-01
E124316,2023-01-01
E124317,2023-01-01
E124318,2023-01-01
E124319,2023-01-01
E124320,2023-01-01
E124321,2023-01-01
E124322,2023-01-01
E124323,2023-01-01
E124324,2023-01-01
E124325,2023-01-01
E124326,2023-01-01
E124327,2023-01-01
E124328,2023-01-01
E124329,2023-01-01
E124330,2023-01-01
E124331,2023-01-01
E124332,2023-01-01
E124333,2023-01-01
E124334,2023-01-01
E124335,2023-01-01
E124336,2023-01-01
E124337,2023-01-01
E124338,2023-01-01
E124339,2023-01-01
E124340,2023-01-01
E124341,2023-01-01
E124342,2023-01-01
E124343,2023-01-01
E124344,2023-01-01
E124345,2023-01-01
E124346,2023-01-01
E124347,2023-01-01
E124348,2023-01-01
E124349,2023-01-01
E124350,2023-01-01
E124351,2023-01-01
E124352,2023-01-01
E124353,2023-01-01
E124354,2023-01-01
E124355,2023-01-01
E124356,2023-01-01
E124357,2023-01-01
E124358,2023-01-01
E124359,2023-01-01
E124360,2023-01-01
E124361,2023-01-01
E124362,2023-01-01
E124363,2023-01-01
E124364,2023-01-01
E124365,2023-01-01
E124366,2023-01-01
E124367,2023-01-01
E124368,2023-01-01
E124369,2023-01-01
E124370,2023-01-01
E124371,2023-01-01
E124372,2023-01-01
E124373,2023-01-01
E124374,2023-01-01
E124375,2023-01-01
E124376,2023-01-01
E124377,2023-01-01
E124378,2023-01-01
E124379,2023-01-01
E124380,2023-01-01
E124381,2023-01-01
E124382,2023-01-01
E124383,2023-01-01
E124384,2023-01-01
E124385,2023-01-01
E124386,2023-01-01
E124387,2023-01-01
E124388,2023-01-01
E124389,2023-01-01
E124390,2023-01-01
E124391,2023-01-01
E124392,2023-01-01
E124393,2023-01-01
E124394,2023-01-01
E124395,2023-01-01
E124396,2023-01-01
E124397,2023-01-01
E124398,2023-01-01
E124399,2023-01-01
E124400,2023-01-01
E124401,2023-01-01
E124402,2023-01-01
E124403,2023-01-01
E124404,2023-01-01
E124405,2023-01-01
E124406,2023-01-01
E124407,2023-01-01
E124408,2023-01-01
E124409,2023-01-01
E124410,2023-01-01
E124411,2023-01-01
E124412,2023-01-01
E124413,2023-01-01
E124414,2023-01-01
E124415,2023-01-01
E124416,2023-01-01
E124417,2023-01-01
E124418,2023-01-01
E124419,2023-01-01
E124420,2023-01-01
E124421,2023-01-01
E124422,2023-01-01
E124423,2023-01-01
E124424,2023-01-01
E124425,2023-01-01
E124426,2023-01-01
E124427,2023-01-01
E124428,2023-01-01
E124429,2023-01-01
E124430,2023-01-01
E124431,2023-01-01
